id,migration,batch
1,0000_00_00_000000_create_websockets_statistics_entries_table,1
2,2014_10_12_000000_create_users_table,1
3,2014_10_12_100000_create_password_resets_table,1
4,2016_01_01_000000_add_voyager_user_fields,1
5,2016_01_01_000000_create_data_types_table,1
6,2016_01_01_000000_create_pages_table,1
7,2016_01_01_000000_create_posts_table,1
8,2016_02_15_204651_create_categories_table,1
9,2016_05_19_173453_create_menu_table,1
10,2016_06_01_000001_create_oauth_auth_codes_table,1
11,2016_06_01_000002_create_oauth_access_tokens_table,1
12,2016_06_01_000003_create_oauth_refresh_tokens_table,1
13,2016_06_01_000004_create_oauth_clients_table,1
14,2016_06_01_000005_create_oauth_personal_access_clients_table,1
15,2016_10_21_190000_create_roles_table,1
16,2016_10_21_190000_create_settings_table,1
17,2016_11_30_135954_create_permission_table,1
18,2016_11_30_141208_create_permission_role_table,1
19,2016_12_26_201236_data_types__add__server_side,1
20,2017_01_13_000000_add_route_to_menu_items_table,1
21,2017_01_14_005015_create_translations_table,1
22,2017_01_15_000000_make_table_name_nullable_in_permissions_table,1
23,2017_03_06_000000_add_controller_to_data_types_table,1
24,2017_04_11_000000_alter_post_nullable_fields_table,1
25,2017_04_21_000000_add_order_to_data_rows_table,1
26,2017_07_05_210000_add_policyname_to_data_types_table,1
27,2017_08_05_000000_add_group_to_settings_table,1
28,2017_11_26_013050_add_user_role_relationship,1
29,2017_11_26_015000_create_user_roles_table,1
30,2018_03_11_000000_add_user_settings,1
31,2018_03_14_000000_add_details_to_data_types_table,1
32,2018_03_16_000000_make_settings_value_nullable,1
33,2018_08_08_100000_create_telescope_entries_table,1
34,2019_08_19_000000_create_failed_jobs_table,1
35,2020_11_05_121039_create_articles_table,1
36,2020_12_09_174908_alter_roles_table_add_parent_id,1
37,2021_01_06_094602_create_inquiries_table,1
38,2021_01_07_131350_create_materials_table,1
39,2021_01_07_144956_create_inquiry_categories_table,1
40,2021_01_07_152521_create_currencies_table,1
41,2021_01_07_154011_create_product_types_table,1
42,2021_01_07_154409_create_services_table,1
43,2021_01_14_162618_alter_user_roles_table,1
44,2021_01_19_095610_create_alter_inquiry_categories_table,1
45,2021_01_19_095710_create_alter_materials_table,1
46,2021_01_19_095744_create_alter_product_types_table,1
47,2021_01_19_095804_create_alter_services_table,1
48,2021_01_19_142420_create_alter_users_table,1
49,2021_01_26_072830_create_inquiry_services_table,1
50,2021_01_26_143116_create_alter_inquiries_table,1
51,2021_02_09_092009_create_alter_inquiries_two_table,1
52,2021_02_10_090000_create_inquiry_suppliers_table,1
53,2021_02_16_154655_create_files_table,1
54,2021_02_25_131234_add_account_manager_id_to_inquiries,1
55,2021_03_02_132309_create_companies_table,1
56,2021_03_02_132949_alter_users_table_add_company_id,1
57,2021_03_02_133022_alter_inquiries_table_add_company_id,1
58,2021_03_04_131148_create_chats_table,1
59,2021_03_04_131921_create_chat_members_table,1
60,2021_03_04_132323_create_messages_table,1
61,2021_03_13_191135_create_pin_messages_table,1
62,2021_03_24_113150_alter_messages_table,1
63,2021_03_30_191233_create_alter_chats_table,1
64,2021_03_31_084742_create_alter_chat_members_table,1
65,2021_04_21_105118_alter_inquiries_table,1
66,2021_05_06_105823_create_notifications_table,1
67,2021_05_08_140131_alter_file_table,1
68,2021_05_19_115652_alter_user_table_add_is_approved,2
69,2021_06_15_091525_alter_messages_table_increase_size,3
70,2021_06_02_095010_alter_messages_table_remove_updated_at,4
71,2021_06_02_095141_create_message_reads_table,4
72,2021_07_03_105825_alter_inquiries_table_add_default_image,5
73,2021_06_03_122324_alter_services_table_add_service_type,6
74,2021_06_22_125638_alter_inquiry_services_table_add_order,6
75,2021_07_02_183027_create_sub_services_table,6
76,2021_07_03_043208_create_inquiry_sub_services_table,6
77,2021_07_09_041006_create_sub_service_assignees_table,6
78,2021_08_11_150452_add_phone_number_field_to_users_table,7
79,2021_08_28_143524_alter_user_emails,7
80,2021_08_04_123703_alter_user_table,8
81,2021_09_17_121403_alter_services_add_status,8
82,2021_09_21_131458_alter_inquiry_sub_services_add_time,8
83,2021_10_08_103450_1_create_sub_services_for_old_inquiries,8
84,2021_10_13_041303_alter_inquiry_sub_services_table_add_completed_at,8
85,2021_10_16_125841_remove_pattern_making_service_from_old_inquiries,8
86,2021_10_08_103450_create_sub_services_for_old_inquiries,9
87,2021_11_16_073514_add_remember_token_for_existing_users,10
88,2021_11_16_073514-1_add_remember_token_for_existing_users,11
89,2021_08_23_055632_create_tech_packs_table,12
90,2021_08_23_055842_create_tech_pack_files_table,12
91,2021_08_23_062532_create_production_size_breakdowns_table,12
92,2021_08_31_161014_create_tech_pack_productions_table,12
93,2021_09_01_091623_create_tech_pack_styles_table,12
94,2021_09_04_132920_create_tech_pack_fabrics_table,12
95,2021_09_15_085019_alter_user_table_add_addresses_and_dob,12
96,2021_09_21_131304_alter_inquiries_table_add_status_column,12
97,2021_09_30_155608_create_tech_pack_hangtag_packagings_table,12
98,2021_11_23_091708_create_fabric_sourcings_table,12
99,2021_11_27_124643_alter_table_tech_packs_add_column_terms_and_conditions,12
100,2021_12_02_073810_alter_table_tech_pack_productions,12
101,2021_12_02_074159_alter_table_production_size_breakdowns_rename_tech_pack_id_column,12
102,2021_12_02_074317_alter_table_tech_pack_files,12
103,2021_12_02_074336_alter_table_tech_pack_fabrics_drop_column_fabric_sourcing,12
104,2021_12_02_080629_create_inquiry_productions_table,12
105,2021_12_03_144319_change_tech_pack_id_to_inquiry_id,12
106,2022_01_19_120328_create_mobile_notifications_table,12
107,2022_01_19_163415_alter_user_table_add_push_token,12
108,2022_02_19_073800_create_tech_packages_table,13
109,2021_06_11_094851_alter_pin_messages_table_add_is_for_all,14
110,2021_07_23_102103_create_feedback_table,14
111,2021_10_22_065513_add_order_column_to_sub_services_table,14
112,2021_11_03_051811_create_contact_details_table,14
113,2021_11_04_095031_alter_companies_table,14
114,2021_11_05_073036_alter_companies_table_add_production_details,14
115,2021_11_05_073121_create_company_machine_types_table,14
116,2021_11_09_142312_create_company_gallery_images_table,14
117,2021_11_17_090940_create_sustainability_questions_table,14
118,2021_11_17_095431_create_sustainability_answers_table,14
119,2021_11_26_110739_create_company_product_types_table,14
120,2021_11_26_111319_alter_companies_remove_product_types,14
121,2021_12_09_131303_alter_contact_details_table,14
122,2021_12_11_152316_alter_inquiries_table_add_public_status,14
123,2022_01_08_195947_create_inquiry_packages_table,14
124,2022_01_08_201340_alter_inquiries_table_add_package,14
125,2022_01_11_135623_create_package_services_table,14
126,2022_01_11_193102_alter_sub_services_table_add_package,14
127,2022_01_28_052837_alter_inquiry_service_table_make_deadline_nullable,14
128,2022_01_28_091835_alter_inquiry_sub_service_table_make_deadline_nullable,14
129,2022_02_05_134828_alter_table_inquiry_services_add_column_is_completed,14
130,2022_04_16_152635_alter_package_for_old_inquiries,14
131,2022_04_16_160619_alter_services_table_add_order,14
132,2022_04_17_043818_alter_services_and_subservices_for_old_inquiries,14
133,2021_07_22_103718_create_feature_notifications_table,15
134,2021_07_22_104032_create_feature_notification_roles_table,15
135,2021_07_22_104104_create_feature_notification_reads_table,15
136,2022_02_16_082432_alter_fabric_sourcings_table_merge_constructions_and_features,15
137,2022_06_02_112637_create_traces_table,15
138,2022_06_02_113937_create_certifications_table,15
139,2022_06_02_114110_create_inquiry_traces_table,15
140,2022_06_04_094424_create_inquiry_current_sub_service_table,15
141,2022_06_08_065555_add_icon_to_traces,15
142,2022_06_09_032522_add_product_name_and_need_trace_approval_to_inquiries,15
143,2022_06_15_103123_alter_traces_table_add_number_of_males_and_number_of_females,15
144,2022_06_15_103157_alter_inquiry_traces_table_add_number_of_males_and_number_of_females,15
145,2022_06_15_134333_alter_inquiry_traces_table_add_number_of_employees,15
146,2022_06_30_211744_alter_table_certifications,15
147,2022_07_01_103713_add_super_admin_to_all_the_chats_of_old_inquiries,15
148,2022_07_12_083233_table_inquiry_sub_services_fix_old_inquiries_order_number_invalid,15
149,2022_07_14_145202_alter_table_trace_change_all_certifications_status,15
150,2022_08_21_114245_add_current_subservice_for_old_inquiries,16
151,2022_07_07_035523_alter_table_mobile_notifications_add_column_read,17
152,2022_07_07_040955_alter_table_mobile_notifications_old_notifications_convert_to_read_state,17
153,2022_07_15_180402_create_jobs_table,17
154,2022_07_26_045749_missing_message_id_add_to_files_table,17
155,2022_07_28_143117_switch_sample_quantity_from_techpack_production_table_to_inquiry_production_table,17
156,2022_07_30_143555_add_missing_sample_breakdowns_to_old_fabric_forms,17
157,2022_08_04_061131_create_mobile_push_notifications_table,17
158,2022_08_04_061218_alter_user_table_remove_push_token,17
159,2022_09_15_105723_alter_inquiry_traces_table_add_other,17
160,2022_09_20_184714_create_care_instructions_table,17
161,2022_09_21_164109_alter_inquiry_table_add_trace_reject_comment,17
162,2022_09_26_082552_create_inquiry_traces_instructions_table,17
163,2022_09_27_114815_alter_table_inquiry_traces_change_percentages_data_type,17
164,2022_09_28_125136_alter_table_inquiries_add_trace_tracking_code,17
165,2022_09_28_134353_create_costing_services_table,17
166,2022_09_28_141325_create_service_costs_table,17
167,2022_09_29_085654_alter_inquiries_table_add_style_name,17
168,2022_09_29_144107_add_data_to_inquiry_costing_services_table_for_old_inquiries,17
169,2022_11_01_095943_increase_certifications_table_column_length,18
170,2022_11_01_100158_increase_inquiry_traces_instructions_table_column_length,18
171,2022_10_13_065520_create_cost_service_suppliers_table,19
172,2022_10_20_110045_create_inquiry_costing_versions_table,19
173,2022_11_03_084112_create_inquiry_costing_versioning_comments_table,19
174,2022_11_16_161227_alter_table_inquiry_costing_versions_table_add_suppliers,19
175,2022_11_23_102123_alter_service_costs_table_add_supplier_ids,19
176,2022_11_24_134519_alter_care_instructions_table_add_null_icons,19
177,2022_11_30_055314_create_cost_yarn_table,19
178,2022_11_30_085410_add_suppliers_data_array_to_costs_services_table,19
179,2022_11_30_191049_create_cost_fabric_table,19
180,2022_11_30_192743_create_cost_trims_table,19
181,2022_11_30_194732_create_cost_other_table,19
182,2022_11_30_194747_create_cost_cm_fob_table,19
183,2022_12_01_081034_change_version_number_in_inquiry_costing_versions_table,19
184,2022_12_03_123014_create_cost_embellishments_table,19
185,2022_12_03_185806_create_inquiry_cost_embellishment_versions_table,19
186,2022_12_03_190346_create_inquiry_cost_yarn_versions_table,19
187,2022_12_03_190429_create_inquiry_cost_fabric_versions_table,19
188,2022_12_03_190508_create_inquiry_cost_other_versions_table,19
189,2022_12_03_190532_create_inquiry_cost_trim_versions_table,19
190,2022_12_03_190558_create_inquiry_cost_cm_fob_versions_table,19
191,2022_12_03_201441_create_secondary_cost_version_comments_table,19
192,2022_12_04_123000_create_unit_of_measurements_table,19
193,2022_12_04_131150_create_per_piece_total_costs_table,19
194,2022_12_04_132158_create_inquiry_per_piece_total_costs_versions_table,19
195,2022_12_08_045524_move_techpacks_table_style_name_to_inquiries_table,19
196,2022_12_08_073430_add_european_women_size50_amount_production_size_break_downs_table,19
197,2022_12_08_105616_alter_service_costs_table_change_data_type_from_int_to_float,19
198,2022_12_08_105812_alter_table_inquiry_costing_versions_change_data_type_from_int_to_float,19
199,2022_12_11_081818_add_development_cost_sheet_initial_data_to_service_costs_table_for_old_inquiries,19
